epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,359.164,1.39919,0.9907,1.20664,0.79549,0.71738,0.80404,0.44945,1.62467,1.09381,1.39583,0.0016304,0.0016304,0.0016304
58,364.738,1.39646,0.99665,1.21414,0.7707,0.75442,0.81357,0.47146,1.58595,1.06159,1.37621,0.0016238,0.0016238,0.0016238
59,370.285,1.39997,0.99841,1.2149,0.78888,0.739,0.80391,0.46823,1.55276,1.04174,1.37396,0.0016172,0.0016172,0.0016172
60,375.884,1.43714,1.02252,1.2317,0.78388,0.74108,0.81691,0.4796,1.55649,1.03448,1.37318,0.0016106,0.0016106,0.0016106
61,381.472,1.42113,0.99969,1.2213,0.76791,0.76489,0.81343,0.47915,1.55488,1.01335,1.3719,0.001604,0.001604,0.001604
62,387.061,1.37828,0.98231,1.20749,0.80444,0.72699,0.81901,0.48143,1.55213,1.03126,1.37234,0.0015974,0.0015974,0.0015974
63,392.624,1.36498,0.97273,1.20015,0.78251,0.74318,0.81912,0.48176,1.54244,1.00378,1.35126,0.0015908,0.0015908,0.0015908
64,398.189,1.38738,0.98779,1.2085,0.80783,0.7129,0.80803,0.46916,1.5805,1.03541,1.38437,0.0015842,0.0015842,0.0015842
65,403.762,1.35086,0.94558,1.18697,0.79797,0.75317,0.8334,0.50321,1.4953,0.97288,1.33015,0.0015776,0.0015776,0.0015776
66,409.36,1.36817,0.95152,1.19559,0.77267,0.76293,0.82041,0.48048,1.5407,1.01246,1.35074,0.001571,0.001571,0.001571
67,414.908,1.37916,0.96848,1.19653,0.79566,0.74198,0.82567,0.49859,1.499,0.97917,1.33149,0.0015644,0.0015644,0.0015644
68,420.512,1.35971,0.95214,1.18849,0.80554,0.74757,0.82164,0.48362,1.5454,1.00262,1.3562,0.0015578,0.0015578,0.0015578
69,426.134,1.36825,0.96744,1.19312,0.82371,0.73005,0.82511,0.48782,1.51824,1.00318,1.33031,0.0015512,0.0015512,0.0015512
70,431.732,1.37624,0.97141,1.19275,0.81697,0.71562,0.82534,0.48683,1.53466,0.98001,1.34396,0.0015446,0.0015446,0.0015446
71,437.327,1.35231,0.95695,1.18932,0.82692,0.74198,0.83721,0.49007,1.52458,0.97545,1.34773,0.001538,0.001538,0.001538
72,442.919,1.33973,0.93924,1.18628,0.79902,0.74571,0.82869,0.49106,1.50851,0.98431,1.33976,0.0015314,0.0015314,0.0015314
73,448.48,1.35075,0.9505,1.1848,0.78952,0.75803,0.82637,0.48204,1.55122,1.00534,1.37445,0.0015248,0.0015248,0.0015248
74,454.038,1.35947,0.95874,1.19408,0.83069,0.73527,0.83012,0.48424,1.55464,0.95851,1.38861,0.0015182,0.0015182,0.0015182
75,459.601,1.33453,0.93393,1.18095,0.78179,0.78013,0.83415,0.49525,1.53198,0.94766,1.35387,0.0015116,0.0015116,0.0015116
76,465.208,1.35178,0.94593,1.18599,0.83847,0.71609,0.8249,0.485,1.55811,0.98962,1.34902,0.001505,0.001505,0.001505
77,470.798,1.34549,0.93023,1.18676,0.82096,0.73751,0.83267,0.5073,1.51142,0.94812,1.33141,0.0014984,0.0014984,0.0014984
78,476.44,1.31532,0.92596,1.16955,0.81496,0.73896,0.82958,0.49539,1.517,0.96152,1.35537,0.0014918,0.0014918,0.0014918
79,482.049,1.3258,0.91541,1.16675,0.79308,0.76028,0.83203,0.49713,1.51995,0.98493,1.33687,0.0014852,0.0014852,0.0014852
80,487.658,1.3342,0.94616,1.18062,0.81508,0.7308,0.82484,0.48538,1.54926,0.97764,1.36272,0.0014786,0.0014786,0.0014786
81,493.254,1.33126,0.92869,1.17469,0.81456,0.74682,0.83689,0.50077,1.51047,0.97863,1.33278,0.001472,0.001472,0.001472
82,498.818,1.3585,0.93988,1.18788,0.80398,0.75093,0.83405,0.49144,1.52675,0.96201,1.35324,0.0014654,0.0014654,0.0014654
83,504.367,1.32528,0.92387,1.18155,0.7837,0.75615,0.83283,0.49877,1.51516,0.97461,1.33979,0.0014588,0.0014588,0.0014588
84,509.96,1.38754,0.95908,1.21245,0.77649,0.76659,0.82414,0.48132,1.52505,1.00314,1.37233,0.0014522,0.0014522,0.0014522
85,515.521,1.31828,0.9352,1.18145,0.81516,0.74323,0.83575,0.50584,1.50734,0.96365,1.34673,0.0014456,0.0014456,0.0014456
86,521.099,1.31681,0.91639,1.17174,0.78418,0.76409,0.82602,0.50029,1.50482,0.96414,1.33321,0.001439,0.001439,0.001439
87,526.658,1.3509,0.91513,1.18325,0.79095,0.75898,0.83231,0.50257,1.51302,0.96756,1.32844,0.0014324,0.0014324,0.0014324
88,532.254,1.33438,0.91719,1.17883,0.80765,0.76711,0.8417,0.51084,1.51609,0.91617,1.33737,0.0014258,0.0014258,0.0014258
89,537.852,1.31262,0.90888,1.163,0.77138,0.76487,0.81915,0.4873,1.52972,0.98416,1.34577,0.0014192,0.0014192,0.0014192
90,543.401,1.27928,0.89298,1.15404,0.79947,0.77852,0.836,0.51311,1.4941,0.93189,1.32983,0.0014126,0.0014126,0.0014126
91,548.959,1.27619,0.88193,1.15146,0.80536,0.76212,0.83918,0.51422,1.48292,0.91936,1.31304,0.001406,0.001406,0.001406
92,554.601,1.33698,0.90893,1.1701,0.81112,0.76957,0.83744,0.50703,1.48965,0.92868,1.33271,0.0013994,0.0013994,0.0013994
93,560.166,1.29711,0.90026,1.15984,0.82394,0.74273,0.83226,0.49837,1.51262,0.9829,1.33348,0.0013928,0.0013928,0.0013928
94,565.746,1.30635,0.91401,1.16853,0.82673,0.75913,0.83954,0.51289,1.47283,0.94103,1.30615,0.0013862,0.0013862,0.0013862
95,571.299,1.28862,0.88301,1.15233,0.80589,0.76435,0.83677,0.50831,1.50521,0.92167,1.33401,0.0013796,0.0013796,0.0013796
96,576.832,1.28348,0.88532,1.1541,0.81339,0.75988,0.83679,0.50624,1.50205,0.92465,1.32786,0.001373,0.001373,0.001373
97,582.408,1.26784,0.87395,1.14815,0.80762,0.76361,0.83696,0.51326,1.4922,0.94585,1.32472,0.0013664,0.0013664,0.0013664
98,587.993,1.2847,0.88417,1.14873,0.7884,0.77479,0.83197,0.51144,1.4878,0.95021,1.32869,0.0013598,0.0013598,0.0013598
99,593.523,1.27387,0.87853,1.1468,0.82141,0.77107,0.84375,0.51688,1.45511,0.89217,1.29944,0.0013532,0.0013532,0.0013532
100,599.106,1.27373,0.87447,1.14626,0.79783,0.75541,0.82988,0.50792,1.48344,0.98097,1.31713,0.0013466,0.0013466,0.0013466
101,604.639,1.28581,0.88342,1.14277,0.82196,0.74198,0.82998,0.50325,1.49572,0.97577,1.3225,0.00134,0.00134,0.00134
102,610.197,1.26918,0.87635,1.14023,0.81336,0.75168,0.83435,0.50542,1.49277,0.95908,1.30944,0.0013334,0.0013334,0.0013334
103,615.706,1.24983,0.85945,1.13685,0.82447,0.76705,0.84774,0.52479,1.45889,0.89723,1.29682,0.0013268,0.0013268,0.0013268
104,621.319,1.25684,0.85223,1.13686,0.77731,0.7887,0.83664,0.51239,1.46229,0.91005,1.31169,0.0013202,0.0013202,0.0013202
105,626.925,1.26629,0.86005,1.13391,0.84439,0.75391,0.84189,0.51911,1.46418,0.8933,1.30701,0.0013136,0.0013136,0.0013136
106,632.488,1.24546,0.85688,1.13214,0.83009,0.75413,0.83743,0.51518,1.45792,0.90847,1.29966,0.001307,0.001307,0.001307
107,638.062,1.24569,0.84805,1.13191,0.80173,0.78076,0.84103,0.51449,1.46357,0.90133,1.29512,0.0013004,0.0013004,0.0013004
108,643.634,1.25455,0.85347,1.13819,0.8271,0.76338,0.84268,0.51978,1.47836,0.88882,1.31931,0.0012938,0.0012938,0.0012938
109,649.199,1.23914,0.83802,1.12607,0.81903,0.76946,0.8419,0.51933,1.45503,0.88819,1.29787,0.0012872,0.0012872,0.0012872
110,654.796,1.24956,0.85957,1.13472,0.82089,0.76883,0.8462,0.52139,1.45731,0.8815,1.29821,0.0012806,0.0012806,0.0012806
111,660.328,1.24207,0.84472,1.12912,0.82862,0.77107,0.84869,0.51996,1.46886,0.89537,1.31433,0.001274,0.001274,0.001274
112,665.91,1.23348,0.8436,1.12974,0.81749,0.78828,0.84669,0.52174,1.46147,0.87236,1.31367,0.0012674,0.0012674,0.0012674
113,671.505,1.23463,0.84206,1.12716,0.82597,0.76094,0.84696,0.52031,1.44608,0.88714,1.30275,0.0012608,0.0012608,0.0012608
114,677.054,1.24037,0.84329,1.13637,0.81375,0.75615,0.83927,0.5123,1.458,0.88646,1.32197,0.0012542,0.0012542,0.0012542
115,682.678,1.23064,0.83377,1.12265,0.79855,0.7981,0.85076,0.52141,1.45528,0.86688,1.30526,0.0012476,0.0012476,0.0012476
116,688.322,1.23548,0.8314,1.12143,0.79523,0.78449,0.84331,0.5205,1.45049,0.90811,1.30154,0.001241,0.001241,0.001241
117,693.878,1.21929,0.83381,1.12148,0.80943,0.75913,0.84416,0.51985,1.44152,0.88237,1.28532,0.0012344,0.0012344,0.0012344
118,699.472,1.23708,0.84352,1.11941,0.81116,0.76875,0.84217,0.51778,1.46265,0.90636,1.32083,0.0012278,0.0012278,0.0012278
119,705.098,1.22884,0.84186,1.12655,0.81858,0.77479,0.84459,0.52643,1.44273,0.88081,1.29711,0.0012212,0.0012212,0.0012212
120,710.707,1.23077,0.83427,1.11868,0.81011,0.74795,0.83245,0.51195,1.46453,0.92112,1.32153,0.0012146,0.0012146,0.0012146
121,716.256,1.22691,0.83792,1.12229,0.84059,0.755,0.84933,0.52941,1.43063,0.87004,1.29401,0.001208,0.001208,0.001208
122,721.849,1.22013,0.83148,1.11313,0.81474,0.76412,0.84258,0.52652,1.42975,0.88251,1.29585,0.0012014,0.0012014,0.0012014
123,727.402,1.20028,0.81106,1.11153,0.79911,0.77181,0.83637,0.52296,1.42154,0.88834,1.29708,0.0011948,0.0011948,0.0011948
124,732.97,1.20632,0.82281,1.11386,0.82925,0.76051,0.84634,0.52353,1.43175,0.86182,1.27649,0.0011882,0.0011882,0.0011882
125,738.521,1.21901,0.82453,1.11637,0.79098,0.78673,0.84771,0.52272,1.44161,0.88784,1.2838,0.0011816,0.0011816,0.0011816
126,744.088,1.21028,0.82232,1.10791,0.83017,0.77107,0.85227,0.52888,1.45784,0.87556,1.31365,0.001175,0.001175,0.001175
127,749.676,1.214,0.8153,1.11212,0.83883,0.76073,0.84904,0.52832,1.45528,0.88666,1.30984,0.0011684,0.0011684,0.0011684
128,755.219,1.2161,0.8235,1.11774,0.83164,0.75511,0.84653,0.5312,1.44617,0.90201,1.27459,0.0011618,0.0011618,0.0011618
129,760.778,1.20795,0.8125,1.10815,0.83527,0.76212,0.84843,0.5334,1.42354,0.86461,1.28938,0.0011552,0.0011552,0.0011552
130,766.382,1.20901,0.81689,1.11259,0.82335,0.76585,0.84793,0.53138,1.42898,0.88785,1.29259,0.0011486,0.0011486,0.0011486
131,771.935,1.19604,0.80038,1.10426,0.80287,0.79195,0.85468,0.53384,1.41952,0.85679,1.28703,0.001142,0.001142,0.001142
